InstallID,CompletionDate,RetailerID,ContractorID,ProductID,InstallHours,InstallStatus
47,2023-10-09,S102,C005,P005,5.1,Completed
48,2023-09-26,S102,C005,P001,9.7,Completed
49,2023-09-16,S102,C007,P001,5.8,Completed
50,2023-10-01,S102,C006,P002,8.0,Completed
51,2023-10-04,S102,C002,P003,5.7,Completed
52,2023-10-05,S102,C004,P002,3.3,Completed
53,2023-09-23,S103,C002,P003,6.1,Completed
54,2023-09-13,S103,C008,P003,1.5,Completed
55,2023-10-23,S103,C006,P004,7.0,Completed
56,2023-10-11,S103,C008,P006,8.4,Completed
57,2023-09-30,S103,C007,P004,7.7,Completed
58,2023-09-13,S103,C008,P005,4.8,Completed
59,2023-10-20,S103,C008,P005,4.9,Completed
60,2023-10-08,S103,C004,P003,3.5,Completed
61,2023-10-04,S103,C005,P005,4.7,Completed
62,2023-10-13,S103,C008,P004,1.6,Completed
63,2023-10-15,S103,C005,P004,7.7,Completed
64,2023-09-28,S103,C005,P003,4.0,Completed
65,2023-10-02,S103,C006,P002,4.1,Completed
66,2023-10-19,S104,C005,P003,3.2,Completed
67,2023-09-11,S104,C008,P004,8.6,Completed
68,2023-10-20,S104,C005,P003,5.1,Completed
69,2023-10-07,S104,C004,P002,7.9,Completed
70,2023-09-25,S104,C002,P005,7.9,Completed
71,2023-10-08,S104,C008,P002,2.7,Completed
72,2023-10-05,S104,C008,P002,6.6,Completed
73,2023-10-11,S104,C007,P003,6.3,Completed
74,2023-10-07,S104,C008,P002,7.7,Completed
75,2023-10-02,S104,C003,P005,6.4,Completed
76,2023-10-21,S104,C006,P003,11.3,Completed
77,2023-10-04,S104,C006,P005,9.6,Completed
78,2023-10-16,S104,C005,P002,7.2,Completed
79,2023-09-09,S104,C004,P003,6.5,Completed
80,2023-09-21,S104,C007,P001,3.7,Completed
81,2023-09-27,S104,C004,P003,6.4,Completed
82,2023-10-05,S104,C008,P004,6.2,Completed
83,2023-10-04,S104,C001,P003,11.1,Completed
84,2023-10-15,S104,C004,P001,7.0,Completed
85,2023-10-10,S104,C004,P003,8.1,Completed
86,2023-09-24,S104,C006,P002,4.8,Completed
87,2023-10-13,S104,C006,P003,7.7,Completed
88,2023-09-30,S104,C006,P003,1.5,Completed
89,2023-09-17,S105,C001,P005,7.2,Completed
90,2023-10-01,S105,C005,P006,3.0,Completed
91,2023-10-23,S105,C003,P003,2.6,Completed
92,2023-09-27,S105,C008,P003,8.0,Completed
93,2023-10-26,S105,C003,P006,6.4,Completed
94,2023-10-12,S105,C007,P006,5.3,Completed
95,2023-09-21,S105,C008,P004,2.9,Completed
96,2023-09-27,S105,C008,P006,5.2,Completed
97,2023-10-14,S105,C006,P002,3.8,Completed
98,2023-10-17,S105,C002,P002,7.9,Completed
99,2023-09-30,S105,C006,P005,3.4,Completed
100,2023-09-13,S105,C008,P003,5.5,Completed
101,2023-10-06,S105,C007,P002,7.6,Completed
102,2023-10-02,S105,C001,P005,7.2,Completed
103,2023-09-26,S105,C006,P003,5.1,Completed
104,2023-10-19,S105,C002,P002,7.3,Completed
105,2023-09-29,S105,C007,P006,7.6,Completed
106,2023-10-03,S105,C001,P005,6.3,Completed
107,2023-10-09,S105,C008,P004,6.9,Delayed
108,2023-09-23,S105,C004,P003,5.6,Completed
109,2023-09-17,S105,C008,P003,8.3,Completed
110,2023-09-15,S105,C001,P004,5.8,Completed
111,2023-10-15,S105,C003,P001,3.2,Completed
112,2023-10-04,S106,C008,P006,4.2,Completed
113,2023-10-06,S106,C005,P005,4.6,Completed
114,2023-09-28,S106,C004,P004,4.7,Completed
115,2023-10-02,S106,C006,P004,7.9,Completed
116,2023-09-28,S106,C004,P001,5.3,Delayed
117,2023-10-01,S106,C003,P004,6.5,Completed
118,2023-10-03,S106,C001,P004,5.5,Completed
119,2023-09-18,S106,C008,P002,6.9,Completed
120,2023-10-19,S106,C006,P001,7.2,Completed
121,2023-09-23,S106,C002,P004,8.5,Completed
122,2023-09-25,S106,C006,P006,7.0,Completed
123,2023-10-11,S106,C003,P004,6.7,Completed
124,2023-09-25,S106,C006,P001,4.5,Completed
125,2023-10-22,S106,C005,P003,4.5,Completed
126,2023-09-22,S106,C005,P005,6.0,Completed
127,2023-10-11,S106,C008,P006,4.7,Completed
128,2023-10-04,S106,C005,P006,8.0,Completed
129,2023-10-09,S106,C006,P004,5.7,Completed
130,2023-10-02,S106,C008,P005,4.6,Completed
131,2023-09-27,S106,C003,P006,8.0,Completed
132,2023-10-21,S106,C004,P004,3.8,Completed
133,2023-10-03,S106,C007,P005,6.0,Completed
134,2023-09-30,S106,C006,P006,4.9,Completed
135,2023-10-03,S106,C007,P001,10.8,Completed
136,2023-10-03,S106,C002,P001,6.0,Completed
137,2023-10-12,S106,C005,P003,4.2,Completed
138,2023-10-04,S106,C006,P003,6.1,Completed
139,2023-10-03,S107,C002,P006,9.3,Completed
140,2023-10-09,S107,C002,P001,8.0,Completed
141,2023-10-17,S107,C002,P001,8.0,Completed
142,2023-10-12,S107,C006,P004,5.4,Completed
143,2023-10-12,S107,C001,P005,3.2,Completed
144,2023-10-11,S107,C006,P003,2.7,Completed
145,2023-10-13,S107,C007,P004,8.8,Completed
146,2023-10-11,S107,C007,P002,7.1,Completed
147,2023-09-26,S107,C001,P005,7.5,Completed
148,2023-09-26,S107,C005,P006,6.6,Completed
149,2023-10-19,S107,C004,P002,4.5,Completed
150,2023-10-09,S107,C008,P001,5.4,Completed
151,2023-10-12,S107,C002,P002,4.0,Completed
152,2023-09-24,S107,C006,P002,3.8,Completed
153,2023-09-22,S107,C005,P001,7.8,Completed
154,2023-10-04,S107,C007,P003,2.9,Completed
155,2023-09-24,S107,C001,P005,4.0,Completed
156,2023-09-30,S107,C005,P004,5.6,Completed
157,2023-10-05,S107,C005,P001,6.2,Completed
158,2023-10-08,S107,C005,P004,3.3,Completed
159,2023-10-01,S107,C006,P006,2.8,Delayed
160,2023-10-08,S107,C003,P001,6.9,Completed
161,2023-10-18,S107,C007,P003,6.4,Completed
162,2023-10-01,S107,C001,P001,8.7,Completed
163,2023-10-02,S107,C004,P001,6.2,Completed
164,2023-10-01,S108,C006,P006,6.6,Completed
165,2023-10-05,S108,C006,P005,7.0,Completed
166,2023-10-04,S108,C002,P001,6.1,Completed
167,2023-10-16,S108,C005,P003,1.5,Completed
168,2023-09-21,S108,C001,P005,6.6,Completed
169,2023-10-13,S108,C002,P002,7.1,Completed
170,2023-09-18,S108,C008,P002,3.4,Completed
171,2023-09-24,S108,C006,P001,4.6,Delayed
172,2023-10-11,S108,C002,P005,5.9,Completed
173,2023-10-14,S108,C002,P004,4.9,Completed
174,2023-09-25,S108,C007,P004,5.2,Completed
175,2023-09-27,S108,C001,P003,6.6,Completed
176,2023-10-12,S108,C004,P003,4.7,Completed
177,2023-10-05,S108,C008,P002,2.9,Completed
178,2023-10-02,S108,C001,P003,7.8,Completed
179,2023-10-26,S109,C004,P002,7.7,Completed
180,2023-09-22,S109,C008,P002,4.8,Completed
181,2023-10-14,S109,C004,P006,5.7,Completed
182,2023-09-24,S109,C008,P002,6.6,Completed
183,2023-09-25,S109,C005,P003,7.0,Completed
184,2023-10-02,S109,C007,P004,7.5,Completed
185,2023-10-08,S109,C004,P006,6.4,Delayed
186,2023-10-13,S109,C003,P005,3.4,Completed
187,2023-10-17,S109,C001,P005,6.8,Completed
188,2023-09-20,S109,C006,P004,4.7,Completed
189,2023-09-29,S109,C002,P003,8.5,Completed
190,2023-10-13,S109,C002,P004,6.0,Completed
191,2023-10-01,S109,C003,P002,6.5,Completed
192,2023-10-13,S109,C003,P002,11.2,Completed
193,2023-09-23,S109,C002,P005,7.5,Completed
194,2023-10-04,S110,C008,P001,4.3,Completed
195,2023-10-11,S110,C004,P001,6.7,Completed
196,2023-09-27,S110,C004,P001,6.2,Completed
197,2023-10-10,S110,C006,P005,4.0,Completed
198,2023-10-05,S110,C007,P006,4.2,Completed
199,2023-10-12,S110,C008,P006,4.3,Completed
200,2023-09-29,S110,C004,P002,4.2,Completed
201,2023-10-21,S110,C001,P002,4.9,Completed
202,2023-10-10,S110,C006,P005,6.0,Completed
203,2023-09-27,S110,C006,P002,6.2,Completed
204,2023-10-09,S110,C007,P003,3.7,Completed
205,2023-09-14,S110,C007,P004,6.5,Completed
206,2023-09-21,S110,C003,P002,6.2,Completed
207,2023-10-05,S111,C006,P001,7.7,Completed
208,2023-10-13,S111,C003,P003,7.1,Completed
209,2023-10-03,S111,C002,P004,5.2,Completed
210,2023-09-24,S111,C007,P001,4.2,Completed
211,2023-10-29,S111,C008,P006,8.4,Completed
212,2023-10-15,S111,C007,P003,9.0,Completed
213,2023-10-19,S111,C002,P005,6.8,Completed
214,2023-10-23,S111,C006,P001,6.0,Completed
215,2023-09-22,S111,C008,P004,3.6,Completed
216,2023-09-29,S111,C006,P003,8.4,Completed
217,2023-09-26,S111,C003,P001,6.6,Completed
218,2023-10-08,S111,C003,P004,5.5,Completed
219,2023-09-28,S111,C001,P003,7.7,Completed
220,2023-09-27,S111,C003,P005,3.3,Completed
221,2023-09-17,S111,C003,P002,4.0,Completed
222,2023-10-07,S111,C004,P002,4.6,Completed
223,2023-10-18,S111,C005,P002,7.0,Completed
224,2023-11-06,S100,C007,P005,9.8,Completed
225,2023-11-14,S100,C005,P001,5.4,Completed
226,2023-11-15,S100,C007,P004,4.4,Completed
227,2023-10-09,S100,C007,P002,9.8,Delayed
228,2023-11-04,S100,C004,P001,5.9,Completed
229,2023-11-16,S100,C005,P002,4.6,Completed
230,2023-11-02,S100,C008,P001,3.0,Completed
231,2023-11-24,S100,C005,P004,6.5,Completed
232,2023-11-27,S100,C002,P005,7.0,Completed
233,2023-11-16,S100,C002,P001,5.0,Completed
234,2023-11-16,S100,C006,P002,6.3,Completed
235,2023-11-05,S100,C006,P003,9.2,Completed
236,2023-10-27,S100,C004,P004,7.8,Completed
237,2023-10-13,S100,C007,P004,1.7,Completed
238,2023-10-24,S101,C004,P001,5.7,Completed
239,2023-11-14,S101,C004,P002,5.8,Delayed
240,2023-10-13,S101,C001,P004,3.7,Completed
241,2023-10-27,S101,C006,P001,6.5,Completed
242,2023-11-08,S101,C002,P004,8.1,Completed
243,2023-10-24,S101,C003,P004,7.3,Completed
244,2023-10-29,S101,C003,P001,4.5,Completed
245,2023-11-07,S101,C008,P003,11.4,Completed
246,2023-11-16,S101,C004,P003,5.5,Delayed
247,2023-10-20,S101,C005,P004,8.4,Completed
248,2023-11-19,S101,C001,P002,5.3,Completed
249,2023-11-02,S101,C002,P006,8.3,Completed
250,2023-10-19,S101,C004,P004,5.6,Completed
251,2023-10-29,S101,C001,P003,5.7,Completed
252,2023-11-23,S101,C003,P006,8.0,Completed
253,2023-11-07,S101,C003,P003,9.9,Completed
254,2023-11-13,S101,C001,P006,5.5,Completed
255,2023-11-22,S101,C007,P006,5.2,Completed
256,2023-11-10,S101,C003,P005,4.5,Completed
257,2023-10-22,S101,C005,P006,4.2,Delayed
258,2023-10-25,S102,C007,P004,7.0,Completed
259,2023-11-18,S102,C007,P002,5.6,Completed
260,2023-10-19,S102,C007,P003,1.5,Completed
261,2023-10-29,S102,C003,P002,5.8,Completed
262,2023-10-20,S102,C006,P004,6.0,Delayed
263,2023-10-29,S102,C007,P001,10.0,Completed
264,2023-11-15,S102,C004,P003,6.4,Completed
265,2023-11-03,S102,C001,P005,6.2,Delayed
266,2023-11-08,S102,C008,P006,9.1,Completed
267,2023-11-04,S102,C007,P004,5.5,Completed
268,2023-10-25,S102,C004,P003,6.4,Completed
269,2023-10-23,S102,C006,P002,8.0,Completed
270,2023-11-02,S102,C004,P001,4.5,Completed
271,2023-11-12,S102,C002,P006,8.0,Delayed
272,2023-10-25,S102,C007,P001,3.3,Completed
273,2023-10-25,S102,C001,P004,7.3,Completed
274,2023-11-04,S102,C002,P002,7.4,Completed
275,2023-11-12,S102,C001,P001,5.2,Completed
276,2023-10-17,S102,C001,P003,5.6,Completed
277,2023-11-13,S103,C004,P001,6.0,Completed
278,2023-10-31,S103,C001,P004,4.1,Completed
279,2023-11-17,S103,C007,P002,5.2,Delayed
280,2023-11-26,S103,C004,P002,7.4,Completed
281,2023-11-12,S103,C007,P002,10.0,Completed
282,2023-11-14,S103,C004,P003,2.9,Completed
283,2023-11-11,S103,C006,P003,4.2,Completed
284,2023-10-20,S103,C008,P002,3.3,Completed
285,2023-11-11,S103,C008,P006,5.6,Completed
286,2023-11-02,S103,C006,P003,7.8,Completed
287,2023-10-29,S103,C008,P001,3.1,Completed
288,2023-10-15,S103,C001,P001,6.0,Completed
289,2023-11-07,S103,C002,P003,7.8,Completed
290,2023-11-11,S103,C001,P006,5.2,Completed
291,2023-11-08,S103,C007,P004,1.5,Completed
292,2023-10-23,S103,C004,P001,6.4,Completed
293,2023-10-23,S103,C003,P001,8.5,Completed
294,2023-11-11,S103,C008,P001,3.9,Completed
295,2023-11-06,S103,C008,P002,2.4,Completed
296,2023-11-07,S104,C003,P004,1.5,Completed
297,2023-11-15,S104,C002,P005,8.2,Completed
298,2023-11-12,S104,C006,P003,9.9,Completed
299,2023-10-31,S104,C007,P001,6.1,Completed
300,2023-11-03,S104,C002,P002,4.7,Completed
301,2023-11-11,S104,C007,P002,8.5,Completed
302,2023-11-17,S104,C006,P006,3.0,Completed
303,2023-11-13,S104,C005,P001,4.6,Completed
304,2023-10-26,S104,C008,P005,5.7,Completed
305,2023-10-25,S104,C006,P003,9.6,Completed
306,2023-11-07,S104,C007,P003,4.7,Completed
307,2023-11-07,S104,C007,P003,7.1,Completed
308,2023-10-21,S104,C005,P001,5.7,Completed
309,2023-11-19,S104,C002,P005,3.6,Completed
310,2023-11-07,S105,C008,P001,6.2,Completed
311,2023-10-28,S105,C007,P003,6.1,Completed
312,2023-11-02,S105,C006,P003,2.2,Completed
313,2023-10-12,S105,C002,P004,5.0,Completed
314,2023-11-14,S105,C004,P001,8.9,Completed
315,2023-11-01,S105,C006,P004,5.4,Completed
316,2023-10-27,S105,C001,P001,5.4,Completed
317,2023-10-12,S105,C007,P003,7.6,Completed
318,2023-11-11,S105,C006,P006,6.7,Completed
319,2023-10-25,S105,C007,P006,5.3,Completed
320,2023-10-28,S105,C002,P001,4.8,Completed
321,2023-10-18,S105,C004,P002,11.9,Completed
322,2023-10-29,S105,C007,P003,8.5,Completed
323,2023-10-17,S105,C003,P003,7.0,Completed
324,2023-11-10,S105,C001,P002,7.1,Completed
325,2023-10-23,S105,C005,P003,5.7,Completed
326,2023-11-06,S105,C002,P003,6.7,Completed
327,2023-10-13,S106,C003,P004,5.4,Delayed
328,2023-10-24,S106,C008,P003,8.7,Completed
329,2023-10-30,S106,C003,P002,3.8,Completed
330,2023-11-17,S106,C008,P002,4.6,Completed
331,2023-11-21,S106,C006,P004,5.6,Completed
332,2023-11-10,S106,C008,P006,4.8,Completed
333,2023-11-09,S106,C007,P001,8.6,Completed
334,2023-10-22,S106,C008,P006,7.9,Completed
335,2023-10-30,S106,C008,P003,5.6,Completed
336,2023-10-23,S106,C008,P003,10.2,Completed
337,2023-10-26,S106,C002,P003,6.5,Completed
338,2023-11-19,S106,C004,P003,9.0,Completed
339,2023-11-14,S106,C005,P002,8.8,Completed
340,2023-11-11,S107,C003,P001,7.1,Completed
341,2023-11-01,S107,C005,P005,6.3,Completed
342,2023-10-29,S107,C005,P001,7.5,Completed
343,2023-10-29,S107,C006,P001,4.4,Completed
344,2023-11-16,S107,C006,P002,5.7,Completed
345,2023-10-21,S107,C003,P004,6.7,Completed
346,2023-11-24,S107,C005,P001,7.6,Completed
347,2023-11-04,S107,C004,P004,5.7,Completed
348,2023-10-26,S107,C002,P003,6.4,Completed
349,2023-11-04,S107,C001,P004,6.6,Completed
350,2023-11-21,S107,C002,P001,6.1,Completed
351,2023-11-14,S107,C004,P001,5.6,Completed
352,2023-10-09,S107,C008,P003,5.0,Delayed
353,2023-10-29,S107,C006,P001,6.7,Completed
354,2023-10-30,S107,C007,P005,6.6,Completed
355,2023-10-25,S107,C008,P004,4.7,Completed
356,2023-10-30,S107,C007,P001,5.6,Completed
357,2023-10-15,S107,C002,P001,2.5,Completed
358,2023-11-01,S107,C006,P001,5.5,Completed
359,2023-10-12,S108,C002,P002,4.3,Completed
360,2023-11-15,S108,C007,P002,4.2,Completed
361,2023-11-08,S108,C004,P004,7.1,Completed
362,2023-11-05,S108,C002,P001,8.5,Completed
363,2023-10-27,S108,C002,P006,1.8,Completed
364,2023-10-31,S108,C001,P003,4.8,Completed
365,2023-10-20,S108,C003,P002,4.1,Completed
366,2023-10-15,S108,C003,P001,4.7,Completed
367,2023-10-30,S108,C003,P004,1.5,Completed
368,2023-10-29,S108,C006,P003,1.8,Completed
369,2023-10-30,S108,C005,P003,1.5,Completed
370,2023-11-03,S108,C003,P001,5.0,Delayed
371,2023-11-10,S108,C005,P004,4.9,Completed
372,2023-11-14,S108,C002,P004,8.8,Completed
373,2023-11-01,S108,C001,P004,6.3,Completed
374,2023-10-29,S109,C001,P005,9.4,Completed
375,2023-11-08,S109,C001,P006,6.5,Completed
376,2023-11-05,S109,C007,P004,9.4,Completed
377,2023-10-16,S109,C005,P005,7.6,Completed
378,2023-10-23,S109,C004,P001,2.8,Completed
379,2023-10-11,S109,C001,P003,6.2,Completed
380,2023-11-14,S109,C003,P006,4.0,Completed
381,2023-11-05,S109,C002,P004,7.7,Completed
382,2023-11-02,S109,C004,P001,8.5,Completed
383,2023-11-09,S109,C007,P005,9.8,Completed
384,2023-11-06,S109,C006,P004,7.6,Completed
385,2023-11-02,S109,C002,P003,6.9,Completed
386,2023-10-26,S110,C003,P006,7.2,Completed
387,2023-10-21,S110,C006,P001,2.2,Completed
388,2023-10-22,S110,C006,P005,8.6,Completed
389,2023-11-13,S110,C001,P006,5.8,Completed
390,2023-10-31,S110,C006,P004,5.9,Completed
391,2023-10-29,S110,C003,P006,6.1,Completed
392,2023-10-13,S110,C004,P003,6.9,Completed
393,2023-11-06,S110,C008,P005,6.9,Completed
394,2023-11-08,S110,C003,P003,5.5,Completed
395,2023-11-02,S110,C002,P003,5.8,Completed
396,2023-11-15,S110,C004,P001,4.8,Completed
397,2023-10-26,S110,C008,P001,4.6,Completed
398,2023-10-29,S110,C004,P001,4.6,Completed
399,2023-10-23,S110,C006,P005,5.8,Completed
400,2023-10-23,S110,C006,P004,4.2,Completed
401,2023-11-07,S110,C003,P001,1.5,Completed
402,2023-10-28,S110,C003,P003,5.3,Completed
403,2023-11-04,S110,C006,P004,3.5,Completed
404,2023-11-02,S110,C006,P006,6.2,Completed
405,2023-10-28,S110,C007,P004,4.8,Completed
406,2023-11-03,S110,C006,P003,6.9,Completed
407,2023-11-03,S110,C003,P002,3.7,Completed
408,2023-10-13,S110,C007,P006,2.5,Completed
409,2023-10-17,S110,C008,P005,5.8,Completed
410,2023-11-18,S110,C003,P004,5.2,Completed
411,2023-11-14,S110,C006,P004,3.4,Completed
412,2023-10-23,S110,C003,P002,7.6,Completed
413,2023-10-20,S111,C008,P001,8.8,Completed
414,2023-11-12,S111,C004,P003,1.5,Delayed
415,2023-10-18,S111,C001,P005,8.6,Completed
416,2023-11-16,S111,C002,P001,6.7,Completed
417,2023-11-01,S111,C006,P001,9.4,Completed
418,2023-11-14,S111,C007,P005,4.1,Completed
419,2023-11-11,S111,C004,P006,6.7,Completed
420,2023-11-28,S111,C007,P003,4.1,Completed
421,2023-11-14,S111,C007,P005,8.2,Completed
422,2023-11-09,S111,C008,P006,8.1,Completed
423,2023-10-29,S111,C004,P003,9.5,Completed
424,2023-11-17,S111,C002,P003,6.0,Completed
425,2023-11-13,S111,C001,P002,10.2,Completed
426,2023-10-31,S111,C003,P003,4.0,Completed
427,2023-11-17,S111,C008,P001,5.9,Completed
428,2023-10-22,S111,C003,P001,4.0,Completed
429,2023-11-06,S111,C004,P006,6.4,Completed
430,2023-10-18,S111,C007,P001,4.2,Completed
431,2023-11-01,S111,C007,P001,8.2,Completed
432,2023-11-30,S100,C001,P003,7.1,Completed
433,2023-12-13,S100,C006,P003,4.6,Delayed
434,2023-11-10,S100,C005,P003,3.4,Completed
435,2023-11-19,S100,C002,P002,8.0,Completed
436,2023-12-04,S100,C006,P003,1.8,Completed
437,2023-11-30,S100,C006,P006,8.3,Completed
438,2023-12-05,S100,C005,P005,8.8,Completed
439,2023-12-24,S100,C005,P004,5.3,Completed
440,2023-12-03,S100,C004,P001,5.9,Completed
441,2023-12-08,S100,C007,P005,9.1,Completed
442,2023-12-13,S100,C003,P004,7.3,Completed
443,2023-12-04,S100,C008,P004,5.3,Completed
444,2023-12-08,S100,C005,P006,5.6,Completed
445,2023-11-22,S100,C007,P006,7.0,Completed
446,2023-12-10,S100,C001,P002,9.9,Completed
447,2023-11-24,S100,C004,P003,5.6,Completed
448,2023-11-14,S100,C004,P002,5.3,Completed
449,2023-12-11,S100,C008,P004,6.1,Completed
450,2023-11-19,S100,C006,P006,6.1,Completed
451,2023-12-17,S100,C003,P003,6.6,Completed
452,2023-12-07,S100,C003,P005,5.9,Completed
453,2023-12-09,S100,C008,P002,8.4,Completed
454,2023-12-04,S100,C005,P001,4.2,Completed
455,2023-12-26,S101,C002,P002,10.6,Completed
456,2023-12-15,S101,C005,P005,3.0,Completed
457,2023-12-01,S101,C008,P006,4.1,Completed
458,2023-12-03,S101,C006,P004,8.0,Completed
459,2023-12-15,S101,C003,P003,6.7,Completed
460,2023-12-16,S101,C008,P002,5.5,Completed
461,2023-11-23,S101,C004,P002,10.1,Completed
462,2023-11-14,S101,C007,P001,6.0,Completed
463,2023-11-26,S101,C004,P001,4.4,Completed
464,2023-12-09,S101,C003,P004,8.2,Completed
465,2023-11-27,S101,C001,P001,6.1,Completed
466,2023-12-16,S101,C003,P003,6.2,Completed
467,2023-11-14,S102,C003,P006,5.3,Completed
468,2023-11-21,S102,C008,P001,3.3,Completed
469,2023-12-09,S102,C008,P005,4.6,Completed
470,2023-12-12,S102,C007,P001,7.0,Completed
471,2023-12-08,S102,C001,P004,6.6,Completed
472,2023-12-16,S102,C003,P005,6.3,Completed
473,2023-12-13,S102,C008,P003,1.6,Completed
474,2023-12-07,S102,C007,P001,6.4,Completed
475,2023-12-08,S102,C002,P003,4.8,Completed
476,2023-12-20,S102,C006,P002,6.7,Delayed
477,2023-11-28,S102,C004,P001,8.5,Completed
478,2023-12-03,S102,C006,P006,5.1,Completed
479,2023-11-12,S102,C002,P003,6.2,Completed
480,2023-12-06,S102,C004,P003,10.1,Completed
481,2023-12-04,S102,C007,P003,6.6,Completed
482,2023-11-30,S102,C001,P001,6.0,Delayed
483,2023-12-02,S103,C005,P003,5.2,Completed
484,2023-12-10,S103,C004,P004,5.8,Completed
485,2023-11-29,S103,C007,P001,5.2,Delayed
486,2023-12-12,S103,C004,P001,6.5,Completed
487,2023-11-21,S103,C002,P004,4.7,Completed
488,2023-11-14,S103,C001,P004,8.3,Completed
489,2023-11-14,S103,C002,P006,8.4,Completed
490,2023-12-17,S103,C008,P004,7.0,Completed
491,2023-12-09,S103,C003,P003,8.1,Completed
492,2023-12-02,S103,C001,P006,3.2,Completed
493,2023-12-18,S103,C001,P003,8.5,Completed
494,2023-12-16,S103,C007,P003,6.8,Completed
495,2023-12-08,S104,C005,P001,3.6,Completed
496,2023-12-02,S104,C003,P003,5.5,Completed
497,2023-12-22,S104,C005,P001,3.7,Completed
498,2023-12-10,S104,C008,P001,7.0,Completed
499,2023-11-18,S104,C003,P004,7.3,Completed
500,2023-12-11,S104,C006,P001,2.2,Completed
501,2023-12-08,S104,C005,P003,7.2,Completed
502,2023-12-03,S104,C006,P003,5.8,Completed
503,2023-12-15,S104,C006,P001,2.6,Completed
504,2023-12-01,S104,C003,P003,6.4,Completed
505,2023-12-18,S104,C003,P003,5.3,Completed
506,2023-11-15,S104,C007,P003,4.6,Completed
507,2023-12-11,S104,C004,P001,3.7,Completed
508,2023-12-02,S104,C006,P005,6.7,Completed
509,2023-12-04,S104,C005,P002,6.2,Completed
510,2023-12-18,S104,C008,P001,6.2,Completed
511,2023-12-03,S104,C001,P006,8.2,Completed
512,2023-12-12,S104,C006,P001,9.0,Completed
513,2023-12-13,S105,C003,P001,6.4,Completed
514,2023-12-23,S105,C003,P003,4.0,Completed
515,2023-11-23,S105,C005,P004,6.7,Completed
516,2023-12-04,S105,C003,P006,7.7,Completed
517,2023-12-24,S105,C006,P002,5.2,Completed
518,2023-12-16,S105,C001,P006,4.5,Completed
519,2023-12-06,S105,C003,P003,7.5,Completed
520,2023-11-26,S105,C001,P001,8.3,Completed
521,2023-11-17,S105,C007,P003,5.7,Completed
522,2023-12-18,S105,C002,P003,9.2,Completed
523,2023-12-06,S105,C006,P002,5.8,Completed
524,2023-11-28,S105,C003,P001,5.5,Completed
525,2023-12-22,S105,C004,P001,5.4,Completed
526,2023-12-06,S106,C004,P003,5.6,Completed
527,2023-11-20,S106,C003,P005,5.0,Completed
528,2023-12-08,S106,C003,P004,4.1,Completed
529,2023-11-25,S106,C003,P003,6.0,Completed
530,2023-12-04,S106,C003,P003,6.6,Completed
531,2023-12-24,S106,C008,P004,9.6,Delayed
532,2023-11-26,S106,C001,P006,5.3,Completed
533,2023-12-11,S106,C008,P001,6.6,Completed
534,2023-12-07,S106,C005,P002,5.0,Completed
