TicketID,OpenDate,CloseDate,RetailerID,ContractorID,ProductID,ResolutionDays,FirstCallResolution,SatisfactionScore
330,2025-03-16,2025-03-21,S103,C005,P003,5,1,4
331,2025-03-17,2025-03-18,S103,C007,P003,1,1,3
332,2025-03-04,2025-03-10,S104,C001,P001,6,1,3
333,2025-03-09,2025-03-13,S105,C002,P006,4,1,3
334,2025-03-18,2025-03-26,S105,C007,P001,8,0,3
335,2025-03-14,2025-03-14,S106,C008,P003,0,1,4
336,2025-03-14,2025-03-15,S106,C004,P006,1,0,3
337,2025-03-22,2025-03-23,S108,C007,P001,1,1,4
338,2025-03-26,2025-03-31,S108,C007,P006,5,0,4
339,2025-03-01,2025-03-09,S110,C005,P002,8,1,4
340,2025-04-17,2025-04-18,S100,C004,P003,1,1,4
341,2025-04-29,2025-05-01,S100,C003,P003,2,1,3
342,2025-04-07,2025-04-15,S101,C002,P006,8,1,4
343,2025-04-07,2025-04-08,S101,C003,P004,1,1,4
344,2025-04-07,2025-04-13,S101,C004,P001,6,1,4
345,2025-04-16,2025-04-21,S102,C005,P005,5,1,3
346,2025-04-03,2025-04-04,S103,C007,P001,1,1,3
347,2025-04-01,2025-04-11,S104,C004,P004,10,1,4
348,2025-04-30,2025-05-04,S104,C008,P004,4,1,4
349,2025-04-28,2025-04-28,S105,C007,P001,0,1,4
350,2025-04-29,2025-04-30,S105,C005,P002,1,1,3
351,2025-04-28,2025-04-29,S105,C005,P003,1,1,4
352,2025-04-08,2025-04-13,S106,C001,P006,5,1,3
353,2025-04-13,2025-04-20,S107,C001,P003,7,1,2
354,2025-04-27,2025-05-01,S108,C005,P002,4,0,4
355,2025-04-11,2025-04-11,S108,C008,P002,0,0,4
356,2025-04-01,2025-04-04,S109,C006,P005,3,0,4
357,2025-04-11,2025-04-16,S111,C006,P002,5,0,3
358,2025-04-11,2025-04-15,S111,C003,P002,4,1,4
359,2025-04-26,2025-04-28,S111,C004,P002,2,0,3
360,2025-05-05,2025-05-11,S100,C003,P001,6,1,4
361,2025-05-31,2025-06-03,S101,C008,P003,3,1,4
362,2025-05-22,2025-05-25,S101,C002,P004,3,1,4
363,2025-05-09,2025-05-11,S104,C007,P002,2,0,3
364,2025-05-26,2025-05-29,S104,C004,P002,3,0,4
365,2025-05-04,2025-05-04,S104,C004,P004,0,0,3
366,2025-05-07,2025-05-11,S106,C006,P003,4,1,3
367,2025-05-07,2025-05-12,S106,C008,P001,5,1,3
368,2025-05-07,2025-05-10,S106,C003,P006,3,1,5
369,2025-05-25,2025-05-25,S107,C002,P003,0,0,4
370,2025-05-31,2025-06-09,S107,C005,P004,9,1,4
371,2025-05-24,2025-05-25,S108,C007,P004,1,1,4
372,2025-05-27,2025-05-29,S108,C004,P004,2,1,3
373,2025-05-26,2025-05-30,S108,C003,P005,4,1,3
374,2025-05-25,2025-05-25,S109,C004,P005,0,1,3
375,2025-05-27,2025-06-02,S109,C005,P005,6,1,4
376,2025-05-16,2025-05-21,S109,C002,P004,5,1,2
377,2025-05-11,2025-05-15,S110,C003,P006,4,1,3
378,2025-05-03,2025-05-10,S111,C008,P001,7,0,4
379,2025-06-14,2025-06-23,S100,C006,P004,9,0,4
380,2025-06-20,2025-06-20,S100,C006,P001,0,1,4
381,2025-06-13,2025-06-15,S101,C004,P006,2,1,4
382,2025-06-04,2025-06-11,S102,C008,P001,7,1,4
383,2025-06-04,2025-06-08,S102,C001,P002,4,0,4
384,2025-06-14,2025-06-19,S102,C006,P005,5,0,4
385,2025-06-28,2025-07-05,S103,C007,P006,7,1,4
386,2025-06-28,2025-06-30,S103,C005,P002,2,1,3
387,2025-06-06,2025-06-15,S104,C003,P004,9,1,4
388,2025-06-17,2025-06-17,S105,C004,P006,0,1,3
389,2025-06-24,2025-06-27,S105,C006,P003,3,1,3
390,2025-06-17,2025-06-19,S105,C002,P003,2,0,4
391,2025-06-14,2025-06-17,S105,C008,P001,3,1,5
392,2025-06-04,2025-06-12,S106,C002,P001,8,1,5
393,2025-06-30,2025-07-05,S106,C003,P003,5,1,3
394,2025-06-04,2025-06-07,S106,C005,P006,3,1,3
395,2025-06-01,2025-06-10,S107,C006,P002,9,0,4
396,2025-06-09,2025-06-17,S107,C005,P004,8,1,4
397,2025-06-11,2025-06-13,S108,C002,P006,2,1,4
398,2025-06-09,2025-06-09,S108,C007,P006,0,1,3
399,2025-06-29,2025-07-04,S109,C007,P002,5,0,4
400,2025-06-08,2025-06-12,S109,C002,P005,4,1,3
401,2025-06-10,2025-06-12,S110,C001,P001,2,0,3
402,2025-06-09,2025-06-11,S110,C008,P003,2,0,4
403,2025-06-27,2025-07-01,S110,C003,P002,4,1,4
404,2025-06-02,2025-06-05,S111,C007,P002,3,1,4
405,2025-07-26,2025-08-03,S101,C002,P004,8,1,3
406,2025-07-06,2025-07-08,S102,C002,P002,2,1,3
407,2025-07-30,2025-08-02,S103,C006,P004,3,1,5
408,2025-07-28,2025-08-03,S104,C007,P003,6,0,4
409,2025-07-26,2025-07-28,S104,C008,P006,2,1,4
410,2025-07-27,2025-07-31,S106,C005,P001,4,0,3
411,2025-07-27,2025-07-31,S106,C004,P002,4,1,2
412,2025-07-22,2025-07-23,S107,C003,P001,1,0,3
413,2025-07-23,2025-07-30,S108,C003,P005,7,0,3
414,2025-07-05,2025-07-11,S108,C003,P003,6,1,3
415,2025-07-30,2025-07-30,S110,C007,P004,0,1,3
416,2025-07-19,2025-07-23,S111,C008,P002,4,1,5
417,2025-08-22,2025-08-23,S100,C002,P003,1,1,4
418,2025-08-29,2025-08-31,S101,C005,P001,4,1,3
419,2025-08-23,2025-08-29,S102,C008,P002,6,0,3
420,2025-08-10,2025-08-12,S102,C003,P005,2,1,3
421,2025-08-05,2025-08-11,S102,C002,P006,6,1,4
422,2025-08-20,2025-08-22,S103,C008,P003,2,0,4
423,2025-08-23,2025-08-31,S104,C002,P003,8,0,4
424,2025-08-27,2025-08-28,S104,C003,P002,1,1,2
425,2025-08-03,2025-08-12,S104,C002,P002,9,1,3
426,2025-08-31,2025-08-31,S105,C002,P004,2,1,4
427,2025-08-20,2025-08-22,S105,C003,P001,2,0,3
428,2025-08-16,2025-08-23,S106,C006,P005,7,1,5
429,2025-08-17,2025-08-22,S106,C007,P004,5,1,4
430,2025-08-04,2025-08-07,S107,C006,P003,3,0,3
431,2025-08-18,2025-08-26,S107,C003,P003,8,1,3
432,2025-08-28,2025-08-29,S108,C002,P001,1,0,4
433,2025-08-19,2025-08-21,S108,C007,P006,2,0,3
434,2025-08-24,2025-08-28,S108,C004,P001,4,1,4
435,2025-08-09,2025-08-15,S108,C001,P001,6,0,3
436,2025-08-21,2025-08-27,S109,C008,P004,6,1,4
437,2025-08-03,2025-08-03,S110,C002,P003,0,1,3
438,2025-08-23,2025-08-31,S111,C005,P005,8,1,4
439,2025-08-26,2025-08-31,S111,C002,P002,10,1,3
